,1a,1b,1c,2,3,4,5,6a,6b,7
1a,1.0,0.9501420919012631,0.9225221450587755,0.6170867158916855,0.2225547006720718,0.5570220991239168,0.7829006074386626,0.7296110629860627,0.8213235141243125,0.8758608348087574
1b,0.9501420919012631,1.0,0.8382021592527292,0.6007667255683756,0.21311224336646833,0.6143636734971676,0.8285351543742285,0.7603713028312621,0.7363199880679931,0.9165301429859359
1c,0.9225221450587755,0.8382021592527292,1.0,0.7097450395370503,0.3918484368540882,0.5978208458008432,0.6795906280262345,0.6073911015720471,0.8392590496632084,0.7587265232794651
2,0.6170867158916855,0.6007667255683756,0.7097450395370503,1.0,0.6546177210066293,0.34415894656823276,0.7135780105232074,0.4369510729264767,0.7810113694693325,0.6538647689011384
3,0.2225547006720718,0.21311224336646833,0.3918484368540882,0.6546177210066293,1.0,0.37393917944334554,0.40444616803640654,0.1353352832366127,0.39331386241000593,0.3079455193519261
4,0.5570220991239168,0.6143636734971676,0.5978208458008432,0.34415894656823276,0.37393917944334554,1.0,0.7432998313456763,0.6769706059942731,0.4325392019758426,0.714251308594601
5,0.7829006074386626,0.8285351543742285,0.6795906280262345,0.7135780105232074,0.40444616803640654,0.7432998313456763,1.0,0.8231173818134254,0.6863960148792623,0.9516930586183248
6a,0.7296110629860627,0.7603713028312621,0.6073911015720471,0.4369510729264767,0.1353352832366127,0.6769706059942731,0.8231173818134254,1.0,0.6382027764321353,0.8369832881630622
6b,0.8213235141243125,0.7363199880679931,0.8392590496632084,0.7810113694693325,0.39331386241000593,0.4325392019758426,0.6863960148792623,0.6382027764321353,1.0,0.7358162512553155
7,0.8758608348087574,0.9165301429859359,0.7587265232794651,0.6538647689011384,0.3079455193519261,0.714251308594601,0.9516930586183248,0.8369832881630622,0.7358162512553155,1.0
