epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-mitotic,figure,time
0,1.250655,1.68097,0.0,0.275797,1.405173,0.0,0.0,35.0
1,1.097973,1.26147,0.02381,0.207937,1.053533,0.02381,4.0,41.0
2,1.041518,1.374061,0.05,0.233523,1.140538,0.05,8.0,39.0
3,1.019415,1.343766,0.018519,0.231339,1.112427,0.018519,8.0,42.0
4,0.990774,1.165007,0.34375,0.201472,0.963534,0.34375,8.0,39.0
5,0.887584,1.045231,0.301608,0.183116,0.862115,0.301608,8.0,31.0
6,0.851272,0.974393,0.349652,0.194446,0.779947,0.349652,8.0,38.0
7,0.821083,0.866655,0.412477,0.182696,0.683958,0.412477,6.0,34.0
8,0.725482,0.820212,0.773339,0.193884,0.626328,0.773339,0.0,47.0
9,0.630431,0.693833,0.689447,0.148959,0.544875,0.689447,0.0,42.0
10,0.590112,0.635559,0.712733,0.131431,0.504128,0.712733,0.0,39.0
11,0.511547,0.535612,0.80569,0.104437,0.431175,0.80569,5.0,50.0
12,0.450301,0.485141,0.792861,0.095028,0.390113,0.792861,8.0,35.0
13,0.430377,0.426085,0.735914,0.09025,0.335835,0.735914,8.0,41.0
14,0.420365,0.44982,0.820597,0.110797,0.339023,0.820597,8.0,38.0
15,0.358764,0.364972,0.794368,0.070545,0.294426,0.794368,8.0,48.0
16,0.379004,0.385186,0.833396,0.067047,0.31814,0.833396,8.0,29.0
17,0.353129,0.486769,0.82989,0.062535,0.424234,0.82989,5.0,51.0
18,0.346934,0.373285,0.894398,0.076183,0.297103,0.894398,0.0,39.0
19,0.331595,0.369894,0.897418,0.061011,0.308884,0.897418,1.0,27.0
20,0.292081,0.333488,0.847453,0.072654,0.260834,0.847453,8.0,37.0
21,0.298323,0.459239,0.814749,0.077,0.382238,0.814749,8.0,31.0
22,0.306383,0.246146,0.903491,0.046765,0.19938,0.903491,8.0,34.0
23,0.294327,0.390365,0.871811,0.060239,0.330126,0.871811,8.0,23.0
24,0.296214,0.313392,0.871029,0.06757,0.245822,0.871029,8.0,24.0
25,0.280171,0.286781,0.864651,0.077969,0.208813,0.864651,8.0,36.0
26,0.26601,0.290758,0.899967,0.06026,0.230499,0.899967,3.0,55.0
27,0.261086,0.279694,0.919893,0.064978,0.214715,0.919893,0.0,35.0
28,0.268231,0.27596,0.864472,0.064604,0.211356,0.864472,0.0,50.0
29,0.270063,0.236855,0.887536,0.043445,0.19341,0.887536,8.0,35.0
30,0.293415,0.242903,0.898808,0.050283,0.19262,0.898808,8.0,50.0
31,0.291684,0.224856,0.918394,0.054946,0.16991,0.918394,8.0,33.0
32,0.249104,0.362906,0.899712,0.074547,0.288358,0.899712,8.0,6.0
